configuration,mcs,srs,kgq,rrs,ces
WITHOUT_RELATIONS,0.0,0,40.0,0.0,10.0
WITHOUT_SESSIONS,0.0,0,0.0,16.66,4.17
WITHOUT_DECISIONS,15.0,0.0,0.0,26.66,10.42
WITHOUT_ARTIFACTS,7.5,0,0.0,0.0,1.88
